Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,France,Germany,Spain,CreditLevel
0.3,0.4849850391447779,0.0,1.0,0.0,0.6432902098608536,1.0,0,0,1,8
0.6,0.0,0.0,1.0,0.0,0.25106241694554027,1.0,0,0,1,7
0.2,0.728933727634196,0.0,1.0,0.0,0.015250214093717938,0.0,1,0,0,7
0.2,0.4076507318170497,0.3333333333333333,1.0,0.0,0.44914621565723717,0.0,0,1,0,2
0.7,0.43581890161061015,0.3333333333333333,1.0,0.0,0.5133765314877298,0.0,1,0,0,7
0.8,0.5179170156297324,0.3333333333333333,0.0,0.0,0.994719221665064,0.0,1,0,0,6
0.5,0.4303675647750049,0.3333333333333333,1.0,0.0,0.7794815701366219,0.0,0,1,0,6
0.8,0.6627704898032504,0.0,1.0,1.0,0.11649513830724233,0.0,0,1,0,5
0.5,0.0,0.3333333333333333,1.0,0.0,0.69017143300662,0.0,1,0,0,7
0.7,0.59634124755593,0.3333333333333333,1.0,1.0,0.5227163886865698,0.0,0,0,1,7
0.7,0.2974255403857399,0.6666666666666666,1.0,0.0,0.6473307349360738,1.0,1,0,0,6
0.2,0.0,0.3333333333333333,0.0,0.0,0.05006807390069052,0.0,0,0,1,6
0.3,0.48290383557722577,0.0,0.0,0.0,0.020113157106681184,1.0,1,0,0,5
0.9,0.0,0.3333333333333333,1.0,0.0,0.24686661016179504,0.0,1,0,0,5
0.9,0.5678635098417848,0.0,1.0,1.0,0.5392934237171231,0.0,1,0,0,8
0.3,0.0,0.3333333333333333,1.0,0.0,0.33281806144814774,0.0,1,0,0,7
0.7,0.5268051661931743,0.3333333333333333,0.0,0.0,0.46887299386534725,0.0,0,1,0,5
0.2,0.44240177356471705,0.0,1.0,0.0,0.5072144731954265,0.0,1,0,0,8
0.8,0.27558563718041856,0.3333333333333333,0.0,1.0,0.5289510117966089,0.0,1,0,0,8
1.0,0.44095720298229457,0.0,1.0,0.0,0.7411877505386599,0.0,1,0,0,5
0.5,0.0,0.3333333333333333,0.0,1.0,0.807047999201437,0.0,1,0,0,7
0.4,0.5222763553122306,0.0,1.0,0.0,0.37004286275257403,1.0,0,1,0,8
0.4,0.5083850977103891,0.3333333333333333,1.0,0.0,0.021071952892780705,0.0,0,1,0,8
0.2,0.4568723500445938,0.0,0.0,1.0,0.841564247419323,0.0,1,0,0,4
0.9,0.0,0.3333333333333333,1.0,1.0,0.36054387305887864,0.0,1,0,0,8
0.7,0.4444101587222127,0.0,1.0,1.0,0.5967308524400683,0.0,1,0,0,10
0.7,0.6678293963895859,0.0,1.0,1.0,0.20589924462575254,0.0,0,0,1,7
0.3,0.4158643057027656,0.0,0.0,0.0,0.5994788135737318,0.0,1,0,0,6
0.4,0.0,0.3333333333333333,1.0,1.0,0.9572341672169458,0.0,0,0,1,3
0.8,0.5961169732300473,0.0,0.0,0.0,0.7496643814666956,0.0,0,1,0,6
0.8,0.5743460223232469,0.0,1.0,1.0,0.058365818300096885,0.0,0,0,1,7
0.9,0.46069497778958785,0.3333333333333333,0.0,1.0,0.5084332220639455,0.0,0,1,0,8
0.2,0.7453748651494319,0.3333333333333333,0.0,1.0,0.5295436828200318,0.0,0,1,0,5
0.7,0.42629770517583454,0.0,1.0,1.0,0.6740498409775276,0.0,0,0,1,6
0.7,0.7170873640369283,0.0,0.0,0.0,0.07328881557614064,1.0,0,0,1,6
0.4,0.0,0.3333333333333333,1.0,1.0,0.3533581057251891,0.0,0,0,1,6
0.2,0.5681078720049244,0.0,1.0,1.0,0.44399191314866493,0.0,0,1,0,5
0.8,0.5350784854520017,0.6666666666666666,0.0,0.0,0.7653291802186007,1.0,0,1,0,10
0.3,0.4795594099580431,0.0,0.0,0.0,0.48235684726821215,0.0,1,0,0,7
0.4,0.0,0.3333333333333333,1.0,1.0,0.5362359493808635,0.0,1,0,0,10
0.1,0.5370789391023263,0.0,1.0,0.0,0.8126657963556158,0.0,1,0,0,4
0.4,0.4466788089140097,0.6666666666666666,1.0,0.0,0.8679608376030385,1.0,1,0,0,6
0.1,0.6151255276594573,0.0,1.0,1.0,0.6927213537004256,0.0,0,1,0,8
0.3,0.32513898372044203,0.0,1.0,1.0,0.1418258108305716,1.0,0,0,1,10
0.0,0.0,0.3333333333333333,0.0,0.0,0.7489580872414147,0.0,1,0,0,7
0.3,0.0,0.3333333333333333,0.0,0.0,0.6564825537374732,0.0,0,0,1,5
0.0,0.45312672567575146,0.0,1.0,0.0,0.16547293957426107,1.0,0,1,0,4
0.6,0.38518954050228127,0.0,0.0,0.0,0.9104244086642492,0.0,0,1,0,6
0.9,0.5278636836175198,0.0,1.0,0.0,0.8888622056623963,0.0,0,0,1,6
0.9,0.0,0.3333333333333333,0.0,1.0,0.9516070181531069,0.0,1,0,0,8
0.8,0.3255394251905226,0.3333333333333333,0.0,0.0,0.17460555445421952,0.0,0,1,0,6
0.8,0.4193317693251471,0.0,1.0,0.0,0.009206880044905169,0.0,1,0,0,8
0.6,0.3395833742696089,0.3333333333333333,1.0,1.0,0.8029765178049358,0.0,0,1,0,5
0.4,0.5287825427447455,0.0,1.0,0.0,0.7824836831681029,1.0,0,1,0,6
1.0,0.0,0.0,1.0,1.0,0.7214529706966163,1.0,1,0,0,7
0.5,0.0,0.3333333333333333,1.0,0.0,0.7949766842389216,0.0,0,0,1,7
0.8,0.41215602717422045,0.0,1.0,0.0,0.3344768001625932,1.0,0,1,0,7
0.8,0.49956059848841416,0.3333333333333333,1.0,0.0,0.11981721667564516,0.0,0,1,0,6
0.9,0.0,0.3333333333333333,1.0,1.0,0.3818072150333098,0.0,1,0,0,5
0.4,0.0,0.3333333333333333,1.0,1.0,0.1907410993324837,0.0,0,0,1,6
0.6,0.0,0.3333333333333333,1.0,1.0,0.20029795084156182,0.0,0,0,1,6
0.4,0.4201713133806638,0.0,0.0,1.0,0.6071113721421914,0.0,1,0,0,8
0.3,0.5328319557952792,0.0,1.0,0.0,0.9549294966032065,1.0,0,0,1,7
0.6,0.0,0.3333333333333333,0.0,1.0,0.5247015440552961,0.0,1,0,0,6
0.0,0.5329790673177305,0.0,0.0,0.0,0.024245000829169316,1.0,0,1,0,6
0.1,0.29982504051744674,0.3333333333333333,0.0,0.0,0.7243355093110014,1.0,0,0,1,4
0.3,0.36813074184821415,0.3333333333333333,1.0,0.0,0.22455145340678564,0.0,0,0,1,3
